skill,hand,limit,balance
expert,bad,fixed,4.0
expert,bad,fixed,5.55
expert,bad,fixed,9.45
expert,bad,fixed,7.19
expert,bad,fixed,5.71
expert,bad,fixed,5.32
expert,bad,fixed,8.52
expert,bad,fixed,4.06
expert,bad,fixed,4.97
expert,bad,fixed,6.18
expert,bad,fixed,6.55
expert,bad,fixed,9.73
expert,bad,fixed,10.8
expert,bad,fixed,2.07
expert,bad,fixed,8.69
expert,bad,fixed,8.47
expert,bad,fixed,7.0
expert,bad,fixed,10.67
expert,bad,fixed,11.04
expert,bad,fixed,10.41
expert,bad,fixed,10.05
expert,bad,fixed,2.92
expert,bad,fixed,8.39
expert,bad,fixed,8.36
expert,bad,fixed,7.13
expert,bad,no-limit,5.52
expert,bad,no-limit,8.28
expert,bad,no-limit,0.27
expert,bad,no-limit,11.49
expert,bad,no-limit,4.68
expert,bad,no-limit,12.22
expert,bad,no-limit,6.24
expert,bad,no-limit,5.1
expert,bad,no-limit,3.76
expert,bad,no-limit,1.0
expert,bad,no-limit,9.52
expert,bad,no-limit,6.42
expert,bad,no-limit,6.81
expert,bad,no-limit,8.09
expert,bad,no-limit,1.56
expert,bad,no-limit,3.82
expert,bad,no-limit,5.77
expert,bad,no-limit,3.14
expert,bad,no-limit,12.01
expert,bad,no-limit,11.66
expert,bad,no-limit,12.06
expert,bad,no-limit,9.45
expert,bad,no-limit,10.34
expert,bad,no-limit,5.7
expert,bad,no-limit,16.68
expert,neutral,fixed,11.74
expert,neutral,fixed,10.04
expert,neutral,fixed,9.49
expert,neutral,fixed,8.33
expert,neutral,fixed,6.2
expert,neutral,fixed,11.45
expert,neutral,fixed,11.99
expert,neutral,fixed,9.37
expert,neutral,fixed,13.08
expert,neutral,fixed,15.3
expert,neutral,fixed,10.73
expert,neutral,fixed,13.35
expert,neutral,fixed,7.79
expert,neutral,fixed,12.29
expert,neutral,fixed,11.56
expert,neutral,fixed,9.51
expert,neutral,fixed,8.85
expert,neutral,fixed,6.06
expert,neutral,fixed,6.76
expert,neutral,fixed,9.28
expert,neutral,fixed,9.24
expert,neutral,fixed,6.17
expert,neutral,fixed,10.8
expert,neutral,fixed,5.68
expert,neutral,fixed,11.19
expert,neutral,no-limit,21.55
expert,neutral,no-limit,3.12
expert,neutral,no-limit,7.64
expert,neutral,no-limit,18.73
expert,neutral,no-limit,14.15
expert,neutral,no-limit,9.1
expert,neutral,no-limit,7.61
expert,neutral,no-limit,9.15
expert,neutral,no-limit,14.53
expert,neutral,no-limit,11.14
expert,neutral,no-limit,8.38
expert,neutral,no-limit,20.89
expert,neutral,no-limit,6.94
expert,neutral,no-limit,25.63
expert,neutral,no-limit,13.29
expert,neutral,no-limit,12.21
expert,neutral,no-limit,13.5
expert,neutral,no-limit,14.91
expert,neutral,no-limit,16.76
expert,neutral,no-limit,0.39
expert,neutral,no-limit,8.21
expert,neutral,no-limit,8.31
expert,neutral,no-limit,8.67
expert,neutral,no-limit,11.71
expert,neutral,no-limit,9.7
expert,good,fixed,10.86
expert,good,fixed,8.68
expert,good,fixed,14.36
expert,good,fixed,9.66
expert,good,fixed,10.08
expert,good,fixed,12.37
expert,good,fixed,6.24
expert,good,fixed,13.45
expert,good,fixed,14.8
expert,good,fixed,10.45
expert,good,fixed,14.28
expert,good,fixed,15.84
expert,good,fixed,14.12
expert,good,fixed,11.29
expert,good,fixed,11.09
expert,good,fixed,14.58
expert,good,fixed,13.01
expert,good,fixed,8.91
expert,good,fixed,12.21
expert,good,fixed,13.61
expert,good,fixed,13.16
expert,good,fixed,11.7
expert,good,fixed,14.54
expert,good,fixed,13.13
expert,good,fixed,10.56
expert,good,no-limit,9.07
expert,good,no-limit,26.99
expert,good,no-limit,8.76
expert,good,no-limit,21.36
expert,good,no-limit,15.19
expert,good,no-limit,15.33
expert,good,no-limit,9.15
expert,good,no-limit,4.93
expert,good,no-limit,15.95
expert,good,no-limit,15.12
expert,good,no-limit,12.76
expert,good,no-limit,11.82
expert,good,no-limit,8.17
expert,good,no-limit,5.47
expert,good,no-limit,9.73
expert,good,no-limit,8.1
expert,good,no-limit,17.72
expert,good,no-limit,16.78
expert,good,no-limit,9.1
expert,good,no-limit,9.43
expert,good,no-limit,5.74
expert,good,no-limit,11.44
expert,good,no-limit,14.96
expert,good,no-limit,8.68
expert,good,no-limit,18.03
average,bad,fixed,4.37
average,bad,fixed,3.58
average,bad,fixed,6.09
average,bad,fixed,4.53
average,bad,fixed,3.55
average,bad,fixed,3.43
average,bad,fixed,8.59
average,bad,fixed,8.0
average,bad,fixed,7.53
average,bad,fixed,5.7
average,bad,fixed,5.75
average,bad,fixed,4.45
average,bad,fixed,1.02
average,bad,fixed,4.39
average,bad,fixed,3.57
average,bad,fixed,1.96
average,bad,fixed,3.53
average,bad,fixed,2.54
average,bad,fixed,2.81
average,bad,fixed,3.31
average,bad,fixed,8.9
average,bad,fixed,9.17
average,bad,fixed,9.94
average,bad,fixed,1.81
average,bad,fixed,7.74
average,bad,no-limit,0.97
average,bad,no-limit,7.11
average,bad,no-limit,0.97
average,bad,no-limit,1.45
average,bad,no-limit,7.84
average,bad,no-limit,4.02
average,bad,no-limit,9.32
average,bad,no-limit,2.57
average,bad,no-limit,8.38
average,bad,no-limit,4.37
average,bad,no-limit,0.88
average,bad,no-limit,4.43
average,bad,no-limit,5.24
average,bad,no-limit,5.82
average,bad,no-limit,0.91
average,bad,no-limit,2.71
average,bad,no-limit,2.8
average,bad,no-limit,2.97
average,bad,no-limit,3.23
average,bad,no-limit,0.01
average,bad,no-limit,4.37
average,bad,no-limit,5.89
average,bad,no-limit,5.43
average,bad,no-limit,10.19
average,bad,no-limit,1.19
average,neutral,fixed,6.42
average,neutral,fixed,14.18
average,neutral,fixed,11.86
average,neutral,fixed,9.19
average,neutral,fixed,11.89
average,neutral,fixed,9.62
average,neutral,fixed,6.73
average,neutral,fixed,9.55
average,neutral,fixed,12.68
average,neutral,fixed,4.93
average,neutral,fixed,13.49
average,neutral,fixed,10.16
average,neutral,fixed,11.15
average,neutral,fixed,8.36
average,neutral,fixed,10.06
average,neutral,fixed,7.84
average,neutral,fixed,10.27
average,neutral,fixed,9.21
average,neutral,fixed,10.4
average,neutral,fixed,8.21
average,neutral,fixed,9.25
average,neutral,fixed,13.78
average,neutral,fixed,6.96
average,neutral,fixed,7.18
average,neutral,fixed,11.63
average,neutral,no-limit,17.31
average,neutral,no-limit,7.56
average,neutral,no-limit,2.98
average,neutral,no-limit,10.34
average,neutral,no-limit,14.42
average,neutral,no-limit,1.49
average,neutral,no-limit,5.32
average,neutral,no-limit,10.43
average,neutral,no-limit,5.75
average,neutral,no-limit,12.13
average,neutral,no-limit,11.65
average,neutral,no-limit,16.06
average,neutral,no-limit,11.48
average,neutral,no-limit,14.71
average,neutral,no-limit,10.15
average,neutral,no-limit,17.56
average,neutral,no-limit,1.0
average,neutral,no-limit,13.06
average,neutral,no-limit,2.95
average,neutral,no-limit,12.04
average,neutral,no-limit,12.17
average,neutral,no-limit,14.12
average,neutral,no-limit,4.11
average,neutral,no-limit,4.47
average,neutral,no-limit,13.93
average,good,fixed,17.58
average,good,fixed,12.85
average,good,fixed,13.94
average,good,fixed,13.99
average,good,fixed,18.63
average,good,fixed,18.32
average,good,fixed,16.84
average,good,fixed,13.72
average,good,fixed,15.22
average,good,fixed,15.05
average,good,fixed,16.44
average,good,fixed,19.11
average,good,fixed,16.19
average,good,fixed,11.31
average,good,fixed,14.86
average,good,fixed,14.51
average,good,fixed,16.09
average,good,fixed,14.42
average,good,fixed,17.27
average,good,fixed,14.49
average,good,fixed,16.25
average,good,fixed,17.27
average,good,fixed,18.69
average,good,fixed,15.71
average,good,fixed,16.24
average,good,no-limit,13.06
average,good,no-limit,9.51
average,good,no-limit,0.36
average,good,no-limit,16.33
average,good,no-limit,14.89
average,good,no-limit,6.39
average,good,no-limit,9.52
average,good,no-limit,22.48
average,good,no-limit,1.61
average,good,no-limit,19.15
average,good,no-limit,6.94
average,good,no-limit,15.55
average,good,no-limit,19.45
average,good,no-limit,9.55
average,good,no-limit,15.71
average,good,no-limit,11.42
average,good,no-limit,6.66
average,good,no-limit,14.68
average,good,no-limit,14.36
average,good,no-limit,16.31
average,good,no-limit,19.24
average,good,no-limit,13.55
average,good,no-limit,16.69
average,good,no-limit,0.1
average,good,no-limit,1.38
